Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(6) definitely no,(1) definitely yes,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,2,2,2,3,2,4,4,4,1.54,2.5,4,4,4,1,4,4,4,No,No,Yes,7,It's fine.,6,1,1,3,5,5,1,1,1,1,6,6,6,1,1,1,7,7,7,7,1,7,7,7,7,18,14,24,17,14,50,50,17,18,18,71,92,14,16,7,7,7,7,7,1,No,Yes,No,50,100,80,7,1,7,7,One without humans,Not at all concerned,Very likely,Somewhat oppose,Somewhat oppose,7,7,7,7,(2) agree,Yes,No,No,"[""Had a conversation with a robot/AI""]",1,3,1,Atheist,,Vegetarian,,10.57,23,Male,West,White,5,37500,96720,568,1,1,0,0,1,0,0,0,0.2,2,high,18_34,25000_49999,1.141824698
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,(3) probably yes,No opinion,No opinion,No opinion,No opinion,No opinion,(3) probably yes,No opinion,No opinion,No opinion,1,5,1,5,4,4.54,4.66,4.24,3.16,3.04,2.68,4.48,4.12,3.28,3.46,3.64,3.34,Not sure,Yes,Yes,7,Not sure,4,2,7,7,7,2,6,3,5,5,4,5,7,7,7,7,1,1,4,1,1,1,7,7,1,38,39,38,42,34,67,38,42,40,37,43,56,47,38,1,1,1,1,1,1,Not sure,Not sure,No,20,10,10,1,1,4.42,5,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Somewhat oppose,7,1,7,5,(2) agree,No,No,Yes,"[""None of the above""]",0,0,4.12,Protestant,,Meat-eater,,42.67,45,Female,South,White,3,12500,35128,569,0,0,0,0,0,0,0,1,0,4,less_than_high,35_54,_24999,0.867579156
(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(4) probably no,4,4,5,5,4,3.7,4.12,3.64,3.52,4.72,3.16,3.22,3.16,2.5,3.1,3.76,2.8,Not sure,Not sure,Yes,7,It's too fast.,5,3,6,4,4,4,6,2,1,4,3,5,6,3,3,3,3,3,3,2,2,2,5,4,4,47,55,52,54,51,49,60,50,48,53,56,55,50,53,5,3,3,3,5,2,Not sure,Not sure,Not sure,25,10,20,5,3,2.56,3,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Somewhat support,5,5,5,5,(2) agree,No,No,No,"[""None of the above""]",0,1,3,Catholic,,Meat-eater,,19.35,71,Female,Northeast,White,5,52500,16365,570,0,0,0,0,0,0,0,1,0,3,high,55_,50000_74999,1.008126113
(2) yes,(5) no,(2) yes,(5) no,(5) no,(2) yes,(1) definitely yes,(5) no,(5) no,(2) yes,(5) no,(3) probably yes,(2) yes,(5) no,(5) no,(5) no,6,5,6,6,5,5.14,2.86,5.56,3.52,5.02,4.54,5.5,3.52,1.72,5.02,6.22,4.06,Not sure,Yes,Yes,6,It's too fast.,5,2,5,6,6,2,7,7,6,6,6,6,6,5,5,5,3,2,3,5,5,5,5,5,5,87,73,45,69,31,77,80,67,71,100,81,76,42,66,5,3,7,2,5,5,Yes,Not sure,Yes,0,0,0,5,5,2.32,3,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,5,6,5,5,(2) agree,Yes,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",5,3,2.88,Protestant,,Meat-eater,,18.52,56,Female,Midwest,White,6,22500,46580,571,0,0,0,1,1,0,1,0,0.6,3,high,55_,_24999,0.803099678
(6) definitely no,(5) no,(6) definitely no,(5) no,(5) no,(5) no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(5) no,(6) definitely no,(5) no,(6) definitely no,4,4,1,4,4,4.24,3.46,3.16,2.56,3.7,2.08,2.74,2.38,2.32,2.44,2.2,1.84,Not sure,Not sure,No,3,It's too slow.,2,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,6,4,4,4,13,28,20,24,23,30,18,26,28,28,17,24,12,30,1,1,1,4,2,4,Not sure,Yes,Not sure,1,1,1,1,4,3.1,6,One with humans,Not at all concerned,Not sure,Somewhat support,Not sure,4,4,4,4,(2) agree,Yes,No,Yes,"[""None of the above""]",0,0,5,Other,Baptist,Meat-eater,,12.15,22,Female,South,White,5,22500,38358,572,0,0,0,0,0,0,0,1,0,6,high,18_34,_24999,0.846706039
(6) definitely no,(3) probably yes,(4) probably no,(3) probably yes,(4) probably no,(4) probably no,(4) probably no,(5) no,(5) no,(5) no,(6) definitely no,(4) probably no,(3) probably yes,(5) no,(5) no,(4) probably no,6,6,3,3,7,4.78,5.98,4.42,4.42,4.84,3.1,3.52,1.48,2.08,1.06,2.98,3.46,Yes,No,Yes,6,It's fine.,2,3,3,6,6,3,3,5,5,6,5,6,6,6,5,3,3,2,5,3,3,5,6,6,6,44,41,100,74,47,66,50,42,58,77,44,77,46,40,5,5,5,2,3,2,No,Yes,No,0,0,15,6,2,3.16,3,One with humans,Somewhat concerned,Somewhat likely,Strongly support,Somewhat support,7,7,7,7,(2) agree,Yes,No,Yes,"[""None of the above""]",0,3,3.04,Catholic,,Meat-eater,,17.55,20,Female,South,White,3,22500,70647,573,0,0,0,0,0,0,0,1,0,6,less_than_high,18_34,_24999,0.868665512
(5) no,(3) probably yes,(5) no,(2) yes,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(5) no,(5) no,4,4,3,5,3,3.7,4.6,3.82,1,3.88,1,3.22,4.72,2.56,3.22,3.22,4.48,No,Not sure,Yes,4,It's fine.,3,4,2,4,5,3,3,4,5,4,4,4,6,6,6,6,5,2,6,4,4,3,5,4,4,54,52,68,60,44,55,56,64,46,47,56,63,50,51,5,4,4,3,4,1,Yes,Yes,Not sure,0,5,0,6,4,2.5,5,One with humans,Not sure,Somewhat likely,Somewhat support,Somewhat support,7,6,7,6,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",1,1,3,Other,Christian non denominational,Meat-eater,,26.5,27,Female,South,White,6,57500,75765,574,0,0,0,0,1,0,1,0,0.4,5,high,18_34,50000_74999,0.999213355
(6) definitely no,(6) definitely no,No opinion,(6) definitely no,(6) definitely no,No opinion,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,No opinion,(6) definitely no,(6) definitely no,(6) definitely no,4,4,2,4,4,3.28,3.58,3.34,3.16,3.64,1.54,3.58,3.52,3.64,3.52,3.7,3.64,No,Yes,Yes,6,Not sure,4,4,4,4,5,4,2,2,6,4,5,5,5,4,4,4,4,6,4,4,4,4,6,4,4,41,46,26,41,40,42,43,35,41,45,44,43,42,42,3,3,3,4,4,4,Not sure,No,Not sure,10,15,10,5,4,5.38,5,One with humans,Very concerned,Very likely,Not sure,Not sure,6,6,6,7,(2) agree,No,No,No,"[""None of the above""]",0,1,3.28,Catholic,,Meat-eater,None,9.37,58,Female,South,White,5,42500,29841,575,0,0,0,0,0,0,0,1,0,4,high,55_,25000_49999,0.988204222
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,4,4,4,4,4,3.82,4.18,4.12,3.94,4,4,4,3.94,4.12,4.06,3.94,4.3,Not sure,Yes,Yes,4,It's fine.,6,4,6,4,6,4,5,6,4,1,1,1,1,4,4,4,4,4,4,7,1,7,7,7,7,51,50,50,50,52,52,52,52,52,50,48,53,49,50,7,7,7,7,7,7,Not sure,Not sure,Not sure,0,0,0,3,6,4.12,7,One with humans,Not sure,Somewhat likely,Somewhat support,Somewhat support,6,6,6,6,(2) agree,No,No,No,"[""None of the above""]",0,0,3,Protestant,,Meat-eater,I do not have anything,4.55,23,Female,South,White,5,52500,76049,576,0,0,0,0,0,0,0,1,0,2,high,18_34,50000_74999,0.999213355
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,5,5,3,4,4,4.9,3.94,4.3,4.12,5.02,2.62,4.54,4.84,4.6,4.84,4.48,5.08,No,Not sure,No,5,It's too fast.,6,3,5,3,3,3,3,3,5,6,3,3,5,5,5,3,5,2,5,3,4,3,5,5,5,40,40,61,58,44,65,48,34,39,57,72,63,26,33,5,5,6,2,7,5,Not sure,Yes,Yes,0,3,2,3,3,2.5,1,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,6,6,6,6,(2) agree,Yes,No,Yes,"[""None of the above""]",2,2,1.8,Other,Non-denominational Christian,Meat-eater,,28.12,50,Female,Midwest,White,5,27500,44055,577,0,0,0,0,0,0,0,1,0,2,high,35_54,25000_49999,0.975317756
No opinion,(5) no,(4) probably no,No opinion,No opinion,(3) probably yes,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,(6) definitely no,No opinion,(4) probably no,No opinion,5,3,1,3,6,5.14,5.74,1.96,2.38,2.5,5.74,3.1,2.92,5.38,4.66,4.96,6.1,Yes,No,Yes,5,Not sure,1,5,3,2,3,1,5,2,6,5,3,3,2,7,2,1,3,1,3,1,2,2,2,1,2,22,70,23,80,72,23,82,69,71,26,73,76,61,15,4,5,6,5,2,5,No,Not sure,No,0,1,0,3,1,3.16,5,One with humans,Not at all concerned,Not sure,Somewhat oppose,Somewhat support,1,1,3,5,(2) agree,Yes,No,No,"[""Had a conversation with a robot/AI""]",3,1,2.48,None,,Vegetarian,,3.47,22,Female,South,White,5,22500,38242,578,1,1,0,0,1,0,0,0,0.2,7,high,18_34,_24999,0.846706039
(4) probably no,(3) probably yes,(3) probably yes,(2) yes,(3) probably yes,(3) probably yes,(1) definitely yes,(4) probably no,(4) probably no,(4) probably no,(3) probably yes,(2) yes,(2) yes,(3) probably yes,(4) probably no,(3) probably yes,3,5,3,5,6,3.4,3.22,3.46,2.98,1.9,1.66,3.76,4.18,3.28,3.22,4.6,3.34,No,No,No,3,It's too fast.,3,5,6,6,6,3,6,6,6,7,5,5,5,5,3,5,3,3,3,3,2,3,5,5,5,31,31,79,60,38,55,44,68,67,29,24,43,63,18,3,3,5,3,3,1,Yes,Yes,No,0,0,5,7,5,3.58,5,One with humans,Somewhat concerned,Very likely,Somewhat support,Somewhat support,6,6,6,5,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,3,4.2,Agnostic,,Meat-eater,,8.63,46,Male,Northeast,White,5,52500,18706,579,1,0,0,0,0,0,1,0,0.2,5,high,35_54,50000_74999,1.182904977
(5) no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(4) probably no,(3) probably yes,(5) no,(4) probably no,(2) yes,(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(2) yes,(5) no,3,7,5,6,3,4.84,3.58,4.84,4.84,6.16,5.68,4.9,3.22,3.28,2.98,3.7,2.92,Yes,Yes,Yes,6,Not sure,5,5,3,7,6,7,3,6,7,6,3,6,5,7,5,5,6,3,5,7,6,6,5,6,6,38,34,55,38,31,44,46,33,48,43,43,48,38,33,3,6,6,6,3,5,Not sure,No,No,0,1,0,6,6,5.02,6,One without humans,Somewhat concerned,Very likely,Somewhat oppose,Somewhat support,6,6,7,7,(2) agree,Yes,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI""]",1,3,2.88,None,,Meat-eater,,5.23,32,Female,South,White,6,42500,76067,580,1,0,0,1,1,0,0,0,0.4,3,high,18_34,25000_49999,1.008671513
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,1,1,1,1,1,1,1,1,1,1,1.06,1,1,1,1,1,1,No,No,Yes,7,It's too fast.,1,5,7,7,7,2,7,6,7,5,7,7,7,5,7,7,1,1,1,1,1,1,1,1,4,1,0,0,16,4,27,2,10,0,0,0,23,96,0,1,1,1,1,1,5,Not sure,No,No,2,15,1,1,1,1,2,One with humans,Very concerned,Very likely,Strongly support,Strongly support,4,5,5,6,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.44,Protestant,,Meat-eater,none,11.42,18,Female,South,White,5,92500,37015,581,0,0,0,0,0,0,0,1,0,7,high,18_34,75000_99999,0.988505746
(3) probably yes,(5) no,(4) probably no,(1) definitely yes,(3) probably yes,(3) probably yes,(1) definitely yes,(6) definitely no,(4) probably no,(1) definitely yes,(4) probably no,(3) probably yes,(3) probably yes,(4) probably no,(4) probably no,(5) no,5,5,6,6,5,6.04,5.98,4.96,6.16,6.22,5.86,6.58,6.04,5.44,5.68,5.56,6.1,No,Not sure,Yes,2,It's too slow.,6,1,6,1,7,7,1,1,4,6,2,2,1,1,1,2,7,7,6,7,6,6,7,7,7,25,40,76,79,70,73,71,77,65,76,71,78,76,63,6,3,6,6,7,1,Not sure,Not sure,No,2,5,5,6,6,5.2,6,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Somewhat oppose,7,7,7,6,(2) agree,Yes,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,0,4.6,Catholic,,Meat-eater,,8.02,43,Female,South,White,5,27500,40484,582,0,0,0,0,0,0,1,0,0.2,2,high,35_54,25000_49999,1.007410065
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,3,3,3,3,3,1.12,1.18,1.18,1.24,1.3,1.18,2.02,3.64,2.08,2.02,2.2,1.6,No,No,Not sure,3,Not sure,2,5,5,6,6,3,4,4,6,5,5,6,6,5,6,6,4,2,4,2,4,4,4,3,3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,3,3,4,4,4,4,Not sure,Not sure,No,0,0,0,6,4,1.42,3,One with humans,Somewhat concerned,Very likely,Somewhat support,Somewhat support,5,5,4,5,(2) agree,No,No,Yes,"[""None of the above""]",0,1,3.56,Agnostic,,Meat-eater,,13.63,56,Female,West,White,5,175000,95337,583,1,0,0,0,0,0,0,1,0,6,high,55_,100000_,0.955821023
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,1,5,1,1.18,1.3,1.42,1.3,1.12,1.12,1.3,1.12,1.18,1.18,1.18,1.12,No,No,Yes,7,It's too fast.,2,7,6,7,7,1,7,7,6,6,7,7,7,7,7,7,1,1,1,1,2,1,6,6,2,50,75,74,74,51,41,43,47,50,40,78,50,86,50,1,1,1,1,6,1,Yes,Yes,Yes,0,0,0,3,5,1,1,One with humans,Very concerned,Very likely,Strongly support,Strongly support,5,5,6,6,(2) agree,Yes,Yes,No,"[""Had a conversation with a family member or friend about robots/AIs""]",0,0,5,Other,MEthodist,Meat-eater,,10.37,26,Female,Midwest,White,5,62500,49421,584,0,0,0,0,0,0,1,0,0.2,6,high,18_34,50000_74999,0.967382162
(5) no,(5) no,(6) definitely no,(3) probably yes,(5) no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(4) probably no,(5) no,(6) definitely no,(5) no,(6) definitely no,(5) no,(5) no,4,4,5,4,4,4.3,4,3.94,2.32,5.26,2.8,5.8,5.38,4,2.86,4,4.78,Not sure,Not sure,Yes,6,It's too fast.,5,1,7,6,7,3,3,3,1,4,5,5,5,7,7,7,2,2,2,2,3,2,3,3,3,49,50,50,65,50,50,63,70,60,50,64,60,79,71,3,2,1,2,4,4,Not sure,Not sure,No,0,5,0,7,7,1.72,1,One without humans,Not very concerned,Somewhat likely,Strongly support,Strongly support,6,6,6,7,(2) agree,No,No,No,"[""None of the above""]",0,1,3,Atheist,,Meat-eater,,45.65,74,Male,West,White,6,52500,85373,585,1,0,0,0,0,0,0,1,0,3,high,55_,50000_74999,1.108166088
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,3,4,1,1,5,5.08,2.8,5.8,4.6,5.5,4.96,1.66,1.42,1.66,1.54,1.6,1.3,Not sure,Not sure,Not sure,4,Not sure,4,6,4,6,6,2,6,6,6,4,4,6,6,4,5,5,4,2,5,5,4,4,4,5,4,4,6,73,6,81,9,11,4,10,75,8,39,74,82,4,2,2,2,4,2,Not sure,Not sure,No,3,3,5,1,4,4.54,4,One with humans,Not sure,Somewhat likely,Strongly support,Somewhat support,5,1,6,6,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.24,Protestant,,Meat-eater,,82.5,45,Female,Midwest,White,3,72500,68130,586,0,0,0,0,0,0,0,1,0,4,less_than_high,35_54,50000_74999,0.991230204
(5) no,(5) no,(4) probably no,(5) no,(6) definitely no,(3) probably yes,(6) definitely no,(5) no,(5) no,(6) definitely no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,2,3,1,1,2,4.24,3.64,4.24,3.88,4.36,4.42,4.12,4.66,3.94,3.94,4.36,5.26,No,No,Yes,5,Not sure,1,6,1,5,6,2,6,5,3,5,2,6,7,7,6,7,2,1,5,2,6,1,7,3,1,31,51,61,53,46,49,36,44,58,52,47,41,57,50,5,1,2,1,5,1,Yes,No,No,0,0,0,6,2,4.84,7,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,5,5,7,5,(2) agree,No,No,No,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans""]",1,0,3.16,Jewish,,Meat-eater,Thank yo,17.73,40,Male,Northeast,White,6,37500,19021,587,0,0,0,1,0,0,0,0,0.2,7,high,35_54,25000_49999,1.194101887
(5) no,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(2) yes,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,6,6,6,6,6,5.98,6.64,5.86,6.34,4.96,5.74,6.46,5.62,5.32,4.66,6.22,5.56,Yes,Yes,Yes,5,It's fine.,6,6,6,3,2,6,3,3,6,6,6,6,6,2,2,3,5,4,5,6,2,4,3,6,3,29,28,85,64,23,80,87,26,74,85,78,79,11,18,3,4,5,1,3,5,Not sure,Not sure,Not sure,5,10,10,6,5,5.68,6,One with humans,Not at all concerned,Not sure,Somewhat oppose,Somewhat oppose,5,5,5,6,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,0,1.68,None,,Meat-eater,,9.48,49,Female,South,White,5,112500,36207,588,1,0,0,0,0,0,1,0,0.2,2,high,35_54,100000_,0.990745017
(5) no,(3) probably yes,(2) yes,(2) yes,(3) probably yes,(2) yes,(4) probably no,(5) no,(3) probably yes,(3) probably yes,(1) definitely yes,(3) probably yes,(4) probably no,(2) yes,(4) probably no,(2) yes,7,7,7,7,7,7,6.94,6.94,6.94,7,6.94,7,6.94,6.94,4.36,7,7,No,Yes,Yes,7,It's fine.,7,1,7,3,3,5,2,3,5,7,1,2,1,2,2,2,5,7,5,6,5,7,6,6,7,99,99,99,100,99,99,100,99,99,100,99,99,99,99,7,5,5,5,7,5,Not sure,Yes,Not sure,5,5,5,7,6,6.94,7,One with humans,Not very concerned,Somewhat likely,Somewhat oppose,Strongly oppose,6,6,6,7,(2) agree,Yes,Yes,Yes,"[""Read a book or article that discussed AI ethics or moral status""]",2,1,3,Undisclosed,,Meat-eater,,11.53,32,Male,Northeast,White,5,137500,10002,589,1,0,0,0,0,1,0,0,0.2,1,high,18_34,100000_,1.175818978
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(5) no,(5) no,2,2,2,4,1,1.96,1.96,2.98,2.5,4,1.48,1.12,1.06,1.06,1,1.06,1.06,No,No,Not sure,4,It's too fast.,3,4,3,5,5,1,5,4,3,4,4,3,4,6,6,5,4,2,4,4,3,4,4,1,1,10,10,0,15,0,0,10,0,10,20,1,20,50,9,2,2,1,1,6,1,No,Not sure,Not sure,0,4,2,1,1,4,2,One with humans,Not sure,Somewhat likely,Somewhat support,Somewhat support,4,4,1,1,(2) agree,No,No,Yes,"[""None of the above""]",0,0,4,Protestant,,Meat-eater,,29.07,68,Female,Midwest,White,5,27500,44084,590,0,0,0,0,0,0,0,1,0,5,high,55_,25000_49999,0.956723739
(4) probably no,(4) probably no,(6) definitely no,(2) yes,(4) probably no,(3) probably yes,(5) no,(3) probably yes,(3) probably yes,(4) probably no,(5) no,(3) probably yes,(5) no,(4) probably no,(3) probably yes,(3) probably yes,6,5,4,4,3,4.84,3.4,4.12,3.94,4.36,4.48,4.36,4.24,2.98,4.6,3.28,4.9,Not sure,No,Not sure,5,Not sure,6,3,6,2,2,2,4,5,5,6,3,3,2,6,5,6,6,4,6,5,6,2,5,6,3,46,39,38,30,62,64,32,33,30,57,68,39,64,56,3,6,5,6,3,5,No,Yes,Not sure,9,7,5,6,5,4.48,5,One with humans,Not at all concerned,Somewhat likely,Not sure,Not sure,6,7,7,7,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",1,1,3.64,Catholic,,Meat-eater,Way too long NOT enough $$$$$,17.57,61,Male,South,White,5,12500,34997,591,0,0,0,0,0,0,1,0,0.2,2,high,55_,_24999,0.954783754
(6) definitely no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(6) definitely no,4,4,3,5,4,3.34,1.78,1.72,2.26,2.38,1.84,1.96,2.56,2.8,2.38,2.38,2.56,No,Not sure,Yes,7,It's too fast.,2,5,6,6,6,2,7,7,7,4,7,7,7,6,5,2,3,2,5,4,4,4,4,4,4,26,26,23,27,23,26,21,14,24,64,18,23,65,32,4,4,4,4,4,4,Not sure,Not sure,Not sure,0,0,0,6,5,3.1,1,One with humans,Very concerned,Somewhat likely,Strongly support,Somewhat support,6,7,4,7,(2) agree,No,No,Yes,"[""None of the above""]",0,0,2.6,Protestant,,Meat-eater,,11.7,72,Female,South,White,5,12500,33415,592,0,0,0,0,0,0,0,1,0,6,high,55_,_24999,0.829525243
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,3,2,3,3,3,1.6,1.42,1.48,1.42,1,1.6,1.78,1.72,1.84,1.78,1.6,1.54,No,No,Yes,7,It's too fast.,5,3,3,7,7,3,6,6,4,6,6,6,6,5,7,5,1,2,2,2,1,3,3,3,3,72,73,72,20,73,74,17,72,77,21,0,77,76,68,2,2,3,3,7,3,Not sure,Not sure,Not sure,0,0,0,3,3,1.9,2,One with humans,Very concerned,Very likely,Strongly support,Strongly support,6,4,5,5,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.16,Protestant,,Meat-eater,,11.25,73,Female,Northeast,White,5,22500,17073,593,0,0,0,0,0,0,0,1,0,3,high,55_,_24999,0.854258466
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,No,No,Not sure,4,It's too fast.,1,5,6,7,4,4,7,1,1,7,3,7,7,7,7,7,1,1,1,1,1,1,1,1,1,0,0,62,51,59,0,0,0,0,59,0,0,60,56,1,1,1,1,1,1,Not sure,Not sure,Not sure,0,25,25,1,2,1,1,One with humans,Very concerned,Somewhat likely,Strongly support,Strongly oppose,4,4,1,1,(2) agree,No,No,No,"[""None of the above""]",0,0,4.16,Catholic,,Meat-eater,,12.9,72,Female,Northeast,White,5,137500,19002,594,0,0,0,0,0,0,0,1,0,7,high,55_,100000_,1.000833885
(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(4) probably no,(3) probably yes,(5) no,(5) no,(5) no,4,4,5,3,4,3.7,3.76,3.04,2.8,5.08,2.8,3.16,4.72,3.46,3.34,3.46,3.46,Not sure,No,Yes,7,It's too fast.,5,6,1,6,7,2,6,6,7,5,5,5,5,6,7,7,4,1,2,2,3,1,2,1,3,18,21,20,16,6,16,39,26,39,10,27,30,19,17,2,1,3,3,6,1,Not sure,No,No,0,1,0,6,2,1.36,1,One with humans,Somewhat concerned,Very likely,Somewhat support,Somewhat support,6,3,6,6,(2) agree,Yes,Yes,Yes,"[""None of the above""]",0,1,3.28,Protestant,,Meat-eater,,21.63,64,Female,Midwest,White,5,175000,53085,595,0,0,0,0,0,0,0,1,0,3,high,55_,100000_,0.940897167
