PMC1,PMC2,PMC3,PMC4,PMC5,PMC6,PMC7,PMC8,PMC9,PMC10,PMC11,PMC12,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,MCE7,MCE8,MCE9,MCE21,MCE22,MCE23,MCE24,MCE25,MCE26,MCE27,MCE28,MCE29,MCE30,MCE31,MP1,MP2,MP3,MP4,SI1,SI2,SI3,SI4,SI6,SI7,SI8,SI9,SI10,SI11,SI12,SI13,SI14,SI15,SI16,F1,F11,F2,F3,F4,F5,F6,F7,F8,F9,F10,MCA1,MCA2,MCEn1,MCEn2,Norm,TA1,TA2,Sub1,Sub2,Anth1,Anth2,Anth3,Anth4,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,progress,age,gender,region,raceethnicity,education,income,Pcode,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,religionRNR,dietMR,exp_prop,PMC1nr,PMC2nr,PMC3nr,PMC4nr,PMC5nr,PMC6nr,PMC7nr,PMC8nr,PMC9nr,PMC10nr,PMC11nr,PMC12nr,MCE1nr,MCE2nr,MCE3nr,MCE4nr,MCE5nr,MCE6nr,MCE7nr,MCE8nr,MCE9nr,SI1nr,SI2nr,SI3nr,SI4nr,MCA1nr,MCA2nr,MCEn1nr,MCEn2nr,education_recode,age_recode,income_recode,weight
1,1,1,2,2,5,5,6,5,5,5,2,5,5,5,2,5,5,5,5,2,2.6,1.4,1.16,1.16,3.24,3.32,2.2,1.52,2.12,3.52,2,36,31,59,55,6,2,3,2,4,6,6,3,3,2,5,7,6,4,5,Yes,Yes,10,10,91,1.6,2.24,4.2,3.84,2.76,1.84,5,6,7,6,4.6,3.46,5.74,5.14,4.66,5.5,3.8,4.2,6.6,(2) agree,Yes,Yes,No,"[""Had a conversation with a family member or friend about robots/AIs""]",4,3,1.48,Catholic,,Meat-eater,,51.37,0.923076923,39,Male,South,White,11,112500,612,0,0,0,0,1,0,0,0,0.2,1,1,1,2,2,4,4,5,4,4,4,2,4,4,4,2,4,4,4,4,2,5,2,3,2,4,5,6,5,post_grad,35_54,100000_,1.0701352
2,5,2,3,6,5,7,6,5,6,6,4,5,3,5,5,5,7,7,5,7,3.48,3.48,3.44,2.56,2.44,3.64,3.32,3.32,2.4,3.28,3.4,26,22,53,56,6,2,3,2,6,5,5,6,5,5,6,5,6,4,3,Not sure,Not sure,5,3,84,1.08,1.8,4.48,3.44,3.08,4.04,7,7,7,7,5.8,1,2.38,5.26,5.5,0,0,0,0,(2) agree,No,No,Yes,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",0,4,2.96,Protestant,,Meat-eater,,22.75,0.923076923,47,Male,South,White,5,137500,613,0,0,1,1,1,0,0,0,0.6,2,4,2,3,5,4,6,5,4,5,5,,4,3,4,4,4,6,6,4,6,5,2,3,2,6,6,6,6,high,35_54,100000_,1.352328776
7,1,7,7,1,3,3,3,1,3,3,1,4,3,5,5,5,1,3,2,7,4.84,2.48,4.48,4.56,3.72,2.6,5,1.88,3.96,4.96,2.28,41,40,60,33,7,5,5,6,1,2,2,2,7,7,2,3,2,1,2,No,Not sure,35,15,86,4,4.04,4.76,2.64,2.44,4.28,5,3,6,6,5.32,2.08,3.82,5.8,4.24,0,0,0,0,(2) agree,No,No,Yes,"[""None of the above""]",0,1,2.92,Protestant,n/a,Meat-eater,None.,16.78,0.923076923,69,Male,South,White,12,137500,614,0,0,0,0,0,1,0,0,0,6,1,6,6,1,3,3,3,1,3,3,1,,3,4,4,4,1,3,2,6,6,4,4,5,4,3,5,5,post_grad,55_,100000_,1.07593725
7,6,7,7,4,4,4,4,4,4,4,4,4,4,7,4,7,1,7,4,7,5,5,3.28,1.8,1.56,1,5,1,2.04,3.76,3.28,24,28,100,27,4,1,7,7,5,3,2,1,1,1,1,1,2,4,1,No,No,1000,1000,8,1.76,1.2,1.56,1.44,1.8,1.8,7,7,7,7,3.58,3.04,4.9,3.52,3.4,0.7,0.8,1.4,1.9,(2) agree,Yes,No,Yes,"[""None of the above""]",1,0,1.32,Agnostic,,Pescatarian,Weird survey,4.83,0.923076923,28,Female,West,White,10,300000,615,0,0,0,0,0,1,1,1,0,6,5,6,6,,,,,,,,,,,6,,6,1,6,,6,,1,6,6,6,6,6,6,bachelors,18_34,100000_,0.860159796
3,1,5,5,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2.72,1.84,2.16,1.16,2.16,2.44,2.2,2.2,2.6,2.8,2.6,35,30,60,58,6,3,3,5,3,3,3,5,4,1,2,1,4,2,3,Not sure,Not sure,5,5,55,1.04,1.08,2.76,1.12,1.04,1.08,2,3,3,3,1.96,1,2.5,1.36,5.02,2.9,2.1,2.2,2.9,(2) agree,No,No,No,"[""None of the above""]",0,0,3.04,Protestant,,Meat-eater,None,15.6,0.923076923,60,Male,South,White,11,137500,616,0,0,0,0,0,1,0,0,0,3,1,4,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,5,3,3,4,2,3,3,3,post_grad,55_,100000_,1.07593725
6,3,5,6,3,6,4,5,1,3,3,2,2,2,2,1,5,1,4,3,5,3.88,3.28,3.48,3,1.88,2.16,3.52,2.12,3.28,3,3,31,35,58,59,4,2,3,6,3,4,2,2,1,1,5,1,3,3,3,Not sure,Not sure,7,3,77,3.56,2.4,3.64,2.24,3.04,2.2,6,5,6,6,4,1.06,4,5.38,3.94,2.4,2.3,5,2.9,(2) agree,Yes,No,Yes,"[""None of the above""]",0,1,2.2,Atheist,,Meat-eater,,9.9,0.923076923,69,Female,Northeast,White,10,137500,617,0,0,0,0,0,1,1,0,0,5,3,4,5,3,5,,4,1,3,3,2,2,2,2,1,4,1,,3,4,,2,3,5,5,4,5,5,bachelors,55_,100000_,0.831827078
7,3,7,7,1,1,4,3,1,5,4,1,4,4,4,1,4,1,3,4,7,2.68,1.44,1.56,1.52,1.32,1.24,1.56,1.12,1.4,3.68,3.16,4,3,100,99,7,6,6,5,3,2,1,1,2,1,2,1,2,4,3,No,Not sure,-1,5,17,4.16,2.56,4.08,2.2,3.32,4.12,7,2,4,6,6.52,1.24,1,6.94,4,0.2,1.4,3.7,0.2,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,1.4,Jewish,,Meat-eater,,12.92,0.923076923,66,Female,South,White,10,137500,618,0,0,0,0,1,0,0,0,0.2,6,3,6,6,1,1,,3,1,4,,1,,,,1,,1,3,,6,6,5,5,4,6,2,,5,bachelors,55_,100000_,0.81834259
2,2,2,2,2,2,6,6,3,3,6,2,6,5,6,6,7,1,5,6,7,2.2,3.4,3.8,2.96,2.44,3.16,2.68,3.04,1.72,3.24,2.52,13,15,85,73,5,4,3,3,4,1,1,1,2,4,2,5,3,1,1,Not sure,Not sure,50,150,49,2.52,2.32,2.56,3.52,4.08,3.44,6,2,6,7,4.18,3.94,4.12,4.18,2.92,5.1,5.3,5.4,5.1,(2) agree,No,No,No,"[""None of the above""]",0,0,2.88,Hindu,,Meat-eater,,7.78,0.923076923,40,Female,South,Asian,10,225000,619,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,5,5,3,3,5,2,5,4,5,5,6,1,4,5,6,4,,3,3,5,2,5,6,bachelors,35_54,100000_,0.850380173
5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,7,3,5,5,2,2,2,2,2,1,2,1,2,1,1,No,No,1,1,0,5,1,3,1,1,1,5,5,2,2,7,1,1,7,7,0,0,0,0,(2) agree,No,No,Yes,"[""None of the above""]",0,2,4,Catholic,,Meat-eater,none,14.12,0.923076923,80,Male,South,White,10,112500,620,0,0,0,0,0,1,0,0,0,4,,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6,3,4,4,4,4,2,2,bachelors,55_,100000_,0.985275824
6,3,6,6,1,6,5,7,5,5,6,7,5,5,6,6,5,6,6,3,7,4.04,3.92,4.16,3.64,4.16,4.08,4.24,4.08,4.24,3.92,4.08,88,76,77,77,5,6,1,3,6,5,6,6,4,6,7,6,6,4,6,No,Yes,10,10,70,4.32,4.2,4.32,4.16,4.08,4.36,6,6,6,6,5.2,5.62,5.26,5.38,5.56,7.9,8.1,7.6,6.9,(2) agree,No,No,No,"[""None of the above""]",1,3,4.04,Catholic,,Meat-eater,,5.8,0.923076923,48,Male,South,White,10,225000,621,0,0,0,0,0,1,0,0,0,5,3,5,5,1,5,4,6,4,4,5,6,4,4,5,5,4,5,5,3,6,4,5,1,3,5,5,5,5,bachelors,35_54,100000_,0.979962671
4,5,5,4,4,4,5,5,4,5,4,4,4,3,6,6,7,2,6,5,6,3.92,2.68,3.24,2.8,3.24,3.16,2.68,2.36,3.44,3.28,2.68,63,62,78,78,5,4,4,4,4,3,4,4,4,4,5,2,4,2,2,Not sure,Not sure,20,20,67,3.64,2.72,2.6,3.96,3.48,4.12,5,3,5,3,4.96,2.38,3.04,4.54,3.28,6.3,6.6,6.8,6.7,(2) agree,No,No,No,"[""Had a conversation with a robot/AI""]",1,0,4.76,Protestant,,Meat-eater,,15.38,0.923076923,69,Female,South,White,5,112500,622,0,0,1,0,0,0,0,0,0.2,,4,4,,,,4,4,,4,,,,3,5,5,6,2,5,4,5,4,,,,4,3,4,3,high,55_,100000_,1.129296316
3,3,4,4,2,2,4,3,2,4,4,2,3,2,2,2,4,3,4,3,6,3.48,3.88,2.56,2.12,2.12,3.6,3.52,3.44,3.52,3.04,3.08,25,25,70,70,6,5,5,5,3,5,3,2,2,4,4,5,5,1,2,No,Not sure,5,10,87,3.76,3,3.04,2.08,2.2,2.08,6,7,5,6,4,2.2,5.14,5.44,5.32,1.9,2,5.1,1.9,(2) agree,Yes,No,Yes,"[""None of the above""]",0,1,4,Protestant,,Meat-eater,,19.92,0.923076923,67,Male,West,White,12,137500,623,0,0,0,0,0,1,0,0,0,3,3,,,2,2,,3,2,,,2,3,2,2,2,,3,,3,5,5,4,4,4,5,6,4,5,post_grad,55_,100000_,1.089795859
1,7,1,7,4,4,7,5,4,7,6,4,7,4,4,4,7,1,7,7,7,4.96,4.56,3.96,2.6,2.6,1.36,4.16,4.96,5,4.8,3,21,61,83,52,4,2,2,2,3,3,1,1,7,1,7,7,1,1,1,Yes,Yes,0,0,100,3.96,2.16,4.88,3.96,1,4.84,7,7,7,7,1.84,1.06,1.06,1.06,5.98,1,5.7,5.4,6.1,(2) agree,No,No,Yes,"[""None of the above""]",0,0,1.72,Catholic,,Vegetarian,,17.17,0.923076923,64,Female,Northeast,White,5,137500,624,0,0,0,0,0,1,0,1,0,1,6,1,6,,,6,4,,6,5,,6,,,,6,1,6,6,6,,2,2,2,6,6,6,6,high,55_,100000_,1.147904638
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1.08,4.96,4.92,4.96,3.92,4.96,4.04,4.96,5,4.96,100,100,100,98,7,3,3,5,3,3,1,7,6,6,6,7,1,4,5,Not sure,Not sure,5,0,100,5,5,5,5,5,5,3,7,5,6,7,7,6.64,6.76,6.94,9.8,10,10,9.8,(2) agree,No,No,No,"[""None of the above""]",0,0,5,Other,Methodist,Vegan,,17.93,0.923076923,76,Female,South,Black,11,175000,625,0,0,0,0,0,1,0,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,3,6,4,5,post_grad,55_,100000_,0.845453768
3,5,2,1,2,1,3,5,5,5,5,4,5,6,3,2,3,1,5,6,5,2.44,2.28,1,1.36,1.28,2.8,3.04,1.16,1.24,3.32,1.96,35,15,40,40,7,3,3,3,4,3,6,6,7,6,6,5,6,4,4,Not sure,Yes,3,5,90,3.48,3.04,4.44,2.32,1.64,2.24,7,5,5,7,6.34,1.12,2.32,6.76,6.34,0.3,4.6,3.4,0.4,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",4,4,4.24,Catholic,,Meat-eater,,21.38,0.923076923,39,Female,South,White,10,175000,626,0,0,0,0,1,0,0,0,0.2,3,4,2,1,2,1,3,4,4,4,4,,4,5,3,2,3,1,4,5,4,6,3,3,3,6,4,4,6,bachelors,35_54,100000_,0.813929634
3,3,4,4,3,4,4,3,2,2,2,2,4,3,6,6,7,6,7,7,7,3.32,3.28,3.6,2.92,2,2.8,2,1.8,3.24,4.04,3.36,33,26,83,78,6,2,2,5,2,1,2,1,2,7,7,1,2,7,1,No,No,1,1,30,3.2,2.28,3.88,2.68,1.8,2.08,6,7,7,7,5.86,1.78,1.96,5.92,5.02,1.5,1.4,1.7,0.9,(2) agree,No,No,Yes,"[""None of the above""]",1,1,2.08,Jewish,,Meat-eater,None,14.63,0.923076923,73,Male,West,White,12,137500,627,0,0,0,0,0,1,0,0,0,3,3,,,3,,,3,2,2,2,2,,3,5,5,6,5,6,6,6,5,2,2,4,5,6,6,6,post_grad,55_,100000_,1.089795859
3,2,3,3,7,6,4,7,6,4,7,4,7,7,7,7,7,7,6,7,7,2.96,3,3.04,3.04,2.96,3.04,3,3,2.96,3.16,3,0,0,100,100,6,1,3,3,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,1,1,100,5,2.48,4.32,3.92,4.24,4.64,7,7,7,7,5.44,1,5.14,5.5,5.8,7.1,5.5,7.4,7.2,(2) agree,Yes,Yes,Yes,"[""None of the above""]",4,3,1.8,Catholic,,Meat-eater,,10.07,0.923076923,47,Male,Northeast,White,13,300000,628,0,0,0,0,0,1,0,0,0,3,2,3,3,6,5,,6,5,,6,,6,6,6,6,6,6,5,6,6,5,1,3,3,6,6,6,6,post_grad,35_54,100000_,1.087768676
5,6,6,6,5,3,3,7,6,6,6,6,6,5,5,6,7,5,6,6,7,2.52,3.36,3.6,3.44,4.52,1.76,3.76,4.64,4.24,4.04,3.44,31,0,25,20,7,1,1,2,5,6,7,6,6,6,4,5,6,5,5,No,Yes,60,20,89,3.56,3.52,2.48,3.92,3.52,3.96,7,7,6,6,2.8,4.84,4.72,2.26,5.08,4.3,7.2,2.7,6.2,(2) agree,No,No,Yes,"[""None of the above""]",1,1,1.68,Catholic,,Vegetarian,,6.93,0.923076923,40,Male,South,White,11,137500,629,0,0,0,0,0,1,0,1,0,4,5,5,5,4,3,3,6,5,5,5,5,5,4,4,5,6,4,5,5,6,6,1,1,2,6,6,5,5,post_grad,35_54,100000_,1.0701352
2,3,6,6,2,2,5,3,3,5,5,3,3,3,5,2,6,2,6,5,6,3.36,3.44,2.2,3.44,3.28,1.8,2.72,1.8,1.88,3.76,2.64,10,10,90,70,7,5,5,5,3,4,5,6,7,1,3,5,6,3,4,No,No,1,1,10,1.96,1.52,3.64,1.04,1.04,2,7,7,7,7,6.88,1,1.06,1.6,4.36,2.5,1.4,3.1,1.2,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",4,4,2.84,Catholic,,Vegan,Thank You,32.28,0.948717949,49,Female,Midwest,White,11,137500,630,0,0,0,0,1,0,0,1,0.2,2,3,5,5,2,2,4,3,3,4,4,3,3,3,4,2,5,2,5,4,5,6,4,4,4,6,6,6,6,post_grad,35_54,100000_,0.876075525
3,5,2,2,3,2,5,6,5,6,6,3,6,3,2,2,6,3,6,7,6,3.44,2.84,2.12,3.16,3.36,4.44,3.12,2.84,3.32,4.16,2.44,70,65,86,65,7,2,1,2,5,5,6,5,6,7,6,7,6,5,3,Yes,Yes,10,10,85,2.56,2.36,4.2,3.44,3.68,2.84,7,6,7,7,4.84,1.54,3.52,3.58,4.6,6.5,5.9,4.6,6.3,(2) agree,Yes,Yes,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,2,1.8,Catholic,,Meat-eater,Thank you,15.93,0.923076923,40,Male,Midwest,White,11,175000,631,0,0,0,1,1,0,0,0,0.4,3,4,2,2,3,2,4,5,4,5,5,3,5,3,2,2,5,3,5,6,5,6,2,1,2,6,5,6,6,post_grad,35_54,100000_,1.054785666
6,6,5,6,7,7,6,6,5,7,2,5,7,7,7,6,7,2,7,7,7,2.12,1.2,3,1.52,4.12,4.44,4.96,2.48,4.2,5,4.68,0,83,100,100,3,3,3,3,4,1,1,1,6,5,7,1,1,1,1,No,Yes,12,10,100,5,5,5,5,5,4.88,7,6,7,6,7,4.84,3.82,6.22,6.7,0.1,0.8,0,0,(2) agree,Yes,No,Yes,"[""None of the above""]",4,1,2.32,Catholic,,Other restrictions,,7.2,0.923076923,48,Female,Northeast,White,10,77500,632,0,0,0,0,0,1,0,1,0,5,5,4,5,6,6,5,5,4,6,2,4,6,6,6,5,6,2,6,6,6,3,3,3,3,6,5,6,5,bachelors,35_54,75000_99999,0.725558748
3,5,6,3,6,5,5,6,3,5,3,5,6,6,6,3,6,5,6,6,7,2.6,2.44,3.88,3.36,3.4,3.64,3.72,3.56,3.4,3.64,2.32,62,56,69,38,3,5,6,6,3,4,4,4,4,5,5,6,5,5,5,Not sure,Not sure,0,1,72,3.44,3.56,3.72,3.36,4,3.84,6,6,6,5,4.78,4.72,5.02,5.02,3.52,7.4,6.2,7.1,6.1,(2) agree,No,Yes,Yes,"[""None of the above""]",4,3,2.08,Protestant,,Meat-eater,,5.73,0.923076923,41,Female,South,White,11,137500,633,0,0,0,0,0,1,0,0,0,3,4,5,3,5,4,4,5,3,4,3,4,5,5,5,3,5,4,5,5,6,3,4,5,5,5,5,5,4,post_grad,35_54,100000_,0.888824419
7,6,7,7,6,7,6,6,7,6,7,7,7,7,6,6,6,7,7,7,6,4.8,4.72,4.6,4.64,4.52,4.64,4.44,4.68,4.52,4.68,4.48,87,93,97,99,7,7,7,7,7,7,5,7,7,5,6,7,6,6,7,Yes,Yes,5,5,96,4.96,4.72,4.88,4.48,4.8,4.76,7,7,6,7,6.88,6.58,6.76,6.88,6.34,9.3,9.7,9.5,9.8,(2) agree,Yes,Yes,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",5,4,1.12,Catholic,Christian,Pescatarian,Very good idea survey,10.3,0.923076923,35,Male,Midwest,White,11,175000,634,1,1,1,0,1,0,0,1,0.8,6,5,6,6,5,6,5,5,6,5,6,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6,6,5,6,post_grad,35_54,100000_,1.054785666
5,5,5,5,6,6,5,6,5,5,3,6,6,7,6,6,5,5,6,7,5,4.28,4.4,3.72,4.08,3.76,3.44,3.92,3.24,3.84,4.12,3.68,73,74,83,68,5,5,3,5,5,6,6,5,6,5,6,5,5,5,6,No,Not sure,2026,2025,82,4.48,4.24,4.12,4.12,4.44,4.04,6,5,6,6,5.86,6.1,5.98,5.92,5.92,8.8,7.7,8.7,8.6,(2) agree,No,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",2,3,4.24,Protestant,,Meat-eater,nothing,9.27,0.923076923,37,Female,West,White,11,137500,635,0,1,1,0,1,0,0,0,0.6,4,4,4,4,5,5,4,5,4,4,3,5,5,6,5,5,4,4,5,6,4,4,4,3,4,5,4,5,5,post_grad,35_54,100000_,0.900272922
6,4,6,7,3,2,4,2,1,4,2,1,2,1,5,1,6,1,2,2,6,3.8,1.84,3.64,1.32,2.68,2.04,3.32,1.4,2.2,4.28,2.36,5,5,61,0,7,4,6,6,3,2,3,1,1,2,3,1,3,1,4,Not sure,Not sure,15,35,63,3.88,3.76,4.32,1.44,1.2,2.72,4,3,6,7,5.62,1,1.42,4.78,4.18,0.1,6.7,0.5,1.1,(2) agree,No,No,Yes,"[""None of the above""]",0,0,2.6,Agnostic,,Other restrictions,This survey makes me nervous,10.68,0.923076923,56,Female,Midwest,White,9,175000,636,0,0,0,0,0,1,1,1,0,5,,5,6,3,2,,2,1,,2,1,2,1,4,1,5,1,2,2,5,6,,5,5,,3,5,6,associates,55_,100000_,0.860883416
1,2,2,1,1,1,6,7,6,7,7,7,5,3,5,3,5,3,6,7,7,1.24,1.04,1.28,1.4,1.12,1.08,1.08,1.16,1.16,1.08,1.16,73,20,56,63,7,1,1,2,4,4,4,7,4,5,2,7,5,6,5,No,Yes,15,30,100,4.08,2.76,3.84,1.92,1.92,3.32,6,5,7,7,6.22,1,1.36,6.28,5.14,2.3,6.2,1.6,3.3,(2) agree,No,No,No,"[""None of the above""]",4,2,1,Protestant,,Vegetarian,thank you,6.6,0.923076923,36,Male,Midwest,White,11,137500,637,0,0,0,0,0,1,0,1,0,1,2,2,1,1,1,5,6,5,6,6,6,4,3,4,3,4,3,5,6,6,6,1,1,2,5,4,6,6,post_grad,35_54,100000_,1.054785666
6,2,7,5,7,7,2,2,7,7,3,3,5,5,5,5,5,1,2,2,5,4,2.36,2.32,1.68,2.36,2.36,2.12,1.96,4,4.88,2.44,37,66,77,61,6,3,6,7,2,2,2,7,1,4,5,7,4,1,2,Yes,Not sure,10,20,99,3.96,2.16,1.8,1.96,2.44,1.16,5,5,5,6,1.12,1,1,1.6,5.38,3.1,0.9,2.2,1.2,(2) agree,Yes,No,No,"[""None of the above""]",4,0,3.72,Catholic,,Meat-eater,,19,0.923076923,58,Female,West,White,5,137500,638,0,0,0,0,0,1,0,0,0,5,2,6,4,6,6,2,2,6,6,3,3,4,4,4,4,4,1,2,2,4,5,3,5,6,4,4,4,5,high,55_,100000_,1.143842217
6,6,6,6,6,7,7,7,7,7,5,6,6,6,6,1,1,6,6,7,6,4.28,4.36,4.52,4.56,4.44,4.04,4.6,4.44,4.48,4.48,4.68,85,84,86,76,7,2,1,2,6,6,7,6,6,6,6,6,7,7,7,Yes,Yes,12,15,82,4.8,4.6,4.48,4.52,4.4,4.48,6,7,7,7,6.4,6.1,6.22,5.68,6.34,8.8,8.8,8,8.8,(2) agree,Yes,Yes,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,4.56,Catholic,,Meat-eater,IT IS GREAT,8.82,0.923076923,37,Male,South,White,11,137500,639,1,1,0,1,1,0,0,0,0.8,5,5,5,5,5,6,6,6,6,6,4,5,5,5,5,1,1,5,5,6,5,6,2,1,2,5,6,6,6,post_grad,35_54,100000_,1.0701352
3,5,7,6,6,6,6,5,7,7,6,5,7,6,6,3,6,5,6,6,7,4.32,3.76,3.8,3.76,3.44,1.4,3.24,4.36,4.08,4.32,3.88,59,56,93,85,6,1,1,1,6,7,7,7,7,2,7,7,7,7,7,Yes,Yes,5,10,95,3.68,2.68,4.2,3.08,4.2,3.36,7,6,7,7,4.78,1,4.66,5.92,4.66,9.3,6.2,6.2,7.7,(2) agree,No,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,2.88,Catholic,,Meat-eater,thank you,9.7,0.923076923,40,Female,Midwest,White,11,175000,640,0,1,1,1,1,0,0,0,0.8,3,4,6,5,5,5,5,4,6,6,5,4,6,5,5,3,5,4,5,5,6,5,1,1,1,6,5,6,6,post_grad,35_54,100000_,0.876075525
7,2,6,6,2,2,3,2,1,2,2,1,1,1,1,1,1,1,4,2,2,4.16,2,3.6,1.96,3.36,2.8,3.44,1.36,3.4,4.32,1.84,15,13,68,31,7,3,4,5,1,2,1,1,2,1,3,1,2,1,2,No,No,1,1,30,1.76,1.92,1.84,1.32,1.6,1.44,3,5,5,3,6.1,1.78,1.78,6.64,6.16,1.1,3.5,2.5,3.1,(2) agree,No,No,No,"[""None of the above""]",0,1,4.96,Protestant,,Meat-eater,,7.03,0.923076923,69,Male,South,White,11,112500,641,0,0,0,0,0,1,0,0,0,6,2,5,5,2,2,3,2,1,2,2,1,1,1,1,1,1,1,,2,2,6,3,,4,3,4,4,3,post_grad,55_,100000_,1.07593725
5,5,7,5,3,2,6,2,1,3,1,1,6,3,6,3,6,3,6,6,6,2.16,2,1.84,1.6,2.44,2.08,2.24,2.4,1.88,1.88,2.16,21,22,21,25,5,3,3,3,6,5,5,5,5,5,5,6,5,5,5,No,Not sure,100,100,28,1.8,1.72,1.68,1.44,1.44,1.72,5,3,7,6,5.5,1.48,3.82,2.56,2.02,1.1,0.9,1.5,1,(2) agree,No,No,No,"[""None of the above""]",0,1,1.8,Catholic,,Vegetarian,,8.7,0.923076923,53,Female,Northeast,White,11,225000,642,0,0,0,0,0,1,0,1,0,4,4,6,4,3,2,5,2,1,3,1,1,5,3,5,3,5,3,5,5,5,4,3,3,3,4,3,6,5,post_grad,35_54,100000_,0.903470292
1,6,4,6,6,6,6,5,5,4,6,6,7,6,6,5,5,4,7,6,6,3.76,3.44,3.52,1.84,2.76,2.76,3.36,2.76,2.24,3.92,4.16,40,30,70,50,5,1,2,2,6,3,4,6,5,5,3,3,6,5,2,No,Not sure,6,10,83,2.96,2,2.2,3.56,3.76,3.76,6,5,7,7,4.54,1,3.04,2.2,5.26,4.1,2.5,4.1,3.8,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",2,2,1.56,Catholic,,Meat-eater,Nice and clear survey thanks,20.05,0.923076923,40,Male,South,White,11,112500,643,0,0,0,0,1,0,0,0,0.2,1,5,,5,5,5,5,4,4,,5,5,6,5,5,4,4,,6,5,5,4,1,2,2,5,4,6,6,post_grad,35_54,100000_,1.0701352
2,5,3,2,6,5,6,4,5,5,5,4,6,5,6,6,6,1,5,6,5,1.92,2.64,2,1.64,2.52,2.16,2.48,3.4,3.28,3.52,2.28,44,36,70,76,7,2,3,2,3,3,1,1,2,4,7,6,2,4,2,No,Yes,100,80,56,3.92,2.24,2.64,4.04,4.04,4,5,3,5,6,3.7,1.72,4.6,2.68,2.86,3,3.5,5.5,6.7,(2) agree,No,No,Yes,"[""None of the above""]",1,1,3.68,Protestant,,Meat-eater,,24.53,0.923076923,69,Male,South,White,9,112500,644,0,0,0,0,0,1,0,0,0,2,4,3,2,5,4,5,,4,4,4,,5,4,5,5,5,1,4,5,4,6,2,3,2,4,3,4,5,associates,55_,100000_,1.051577883
6,2,6,6,2,3,2,2,2,3,6,2,3,2,6,2,6,3,2,3,4,1.92,1.84,4,1.84,3.92,2.6,3.84,2.56,4.04,4.88,1.64,27,29,63,27,7,6,6,6,3,3,5,4,4,5,5,5,6,1,1,Not sure,Yes,1,1,70,4.08,3.32,1.76,1.6,3.92,1.88,3,2,5,2,3.1,1.42,4.54,2.74,5.86,1.8,1.3,1,1.4,(2) agree,No,No,No,"[""None of the above""]",1,2,4.08,Protestant,,Meat-eater,,13.08,0.923076923,64,Male,West,Black,5,137500,645,0,0,0,0,0,1,0,0,0,5,2,5,5,2,3,2,2,2,3,5,2,3,2,5,2,5,3,2,3,,6,5,5,5,3,2,4,2,high,55_,100000_,1.302909906
